User_name,Open,Concen,Extra,Agree,Neurot,Open.,Self-transc,Self-enhance.,Conser.,Hedonism.
 ur28112687   ,0.34,0.37,0.14,0.07,0.28,0.4,0.28,0.69,0.77,0.69
 ur6175555   ,0.29,0.59,0.96,0.64,0.25,0.41,0.26,0.03,0.17,0.28
 ur65778237   ,0.22,0.56,0.79,0.59,0.3,0.92,0.75,0.51,0.88,0.75
 ur52795042   ,0.41,0.37,0.95,0.2,0.55,0.56,0.51,0.07,0.23,0.15
 ur51180408   ,0.45,0.69,0.33,0.51,0.53,0.86,0.67,0.98,0.94,0.95
 ur50333040   ,0.65,0.48,0.54,0.47,0.49,0.69,0.48,0.45,0.75,0.35
 ur49250326   ,0.25,0.01,0.03,0.16,0.14,0.42,0.18,0.5,0.39,0.66
 ur66487667   ,,,,,,,,,,
 ur58036955   ,0.73,0.84,0.59,0.4,0.26,0.26,0.19,0.44,0.55,0.28
 ur52622160   ,0.97,0.93,0.91,0.42,0.87,0.02,0.26,0.4,0,0.02
 ur59821668   ,0.9,0.72,0.97,0.16,0.94,0.32,0.64,0.64,0.15,0.36
 ur66573262   ,0.21,0.11,0.43,0.34,0.28,0.47,0.54,0.17,0.38,0.54
 ur23151537   ,0.23,0.27,0.02,0.33,0.25,0.4,0.26,0.24,0.33,0.56
 ur0806494   ,0.41,0.5,0.87,0.56,0.62,0.15,0.22,0.3,0.51,0.34
 ur63622822   ,0.35,0.54,0.49,0,0.01,0.27,0.17,0.55,0.57,0.34
 ur42129651   ,0.99,0.77,0.96,0.13,0.66,0.31,0.48,0.7,0.75,0.19
 ur26545865   ,0.04,0.13,0.44,0,0.15,0.88,0.43,0.16,0.37,0.75
 ur32012014   ,0.4,0.43,0.34,0.35,0.34,0.93,0.73,0.95,0.94,0.91
 ur26124113   ,0.48,0.66,0.41,0.32,0.47,0.37,0.37,0.39,0.39,0.6
 ur63026225   ,0.87,0.8,0.44,0.24,0.77,0.58,0.54,0.84,0.43,0.46
 ur19751517   ,0.43,0.58,0.98,0.27,0.22,0.33,0.28,0.07,0.19,0.18
 ur45330151   ,0.45,0.52,0.99,0.83,0.63,0.24,0.27,0.04,0.09,0.08
 ur61129877   ,0.33,0.67,0.83,0.32,0.09,0.43,0.21,0.05,0.34,0.18
 ur32805915   ,0.5,0.76,0.93,0.82,0.35,0.08,0.11,0.06,0.1,0.12
 ur14316910   ,0.54,0.35,0.51,0.09,0.51,0.25,0.17,0.6,0.67,0.32
 ur66202460   ,0.69,0.5,0.72,0.42,0.43,0.92,0.84,0.5,0.95,0.61
 ur26853876   ,0.15,0.57,0.3,0.01,0.04,0.22,0.42,0.39,0.18,0.26
